FUN,639064700000,639064799999
FUN,639064800000,639064899999
FUN,639064900000,639064999999
FUN,639065000000,639065099999
FUN,639065100000,639065199999
FUN,639065500000,639065599999
FUN,639065700000,639065799999
FUN,639152200000,639152299999
FUN,639152800000,639152899999
FUN,639153500000,639153599999
FUN,639153900000,639153999999
FUN,639157000000,639157099999
FUN,639157600000,639157699999
FUN,639157800000,639157899999
FUN,639158200000,639158299999
FUN,639158500000,639158599999
FUN,639159000000,639159099999
FUN,639165100000,639165199999
FUN,639166000000,639166099999
FUN,639166100000,639166199999
FUN,639166300000,639166399999
FUN,639166400000,639166499999
FUN,639166500000,639166599999
FUN,639166700000,639166799999
FUN,639167200000,639167299999
FUN,639172000000,639172099999
FUN,639172400000,639172499999
FUN,639173600000,639173699999
FUN,639179200000,639179299999
FUN,639179300000,639179399999
FUN,639179500000,639179599999
FUN,639179800000,639179899999
FUN,639271700000,639271799999
FUN,639272400000,639272499999
FUN,639274600000,639274699999
FUN,639274700000,639274799999
FUN,639274800000,639274899999
FUN,639275000000,639275099999
FUN,639275100000,639275199999
FUN,639275200000,639275299999
FUN,639275300000,639275399999
FUN,639275500000,639275599999
FUN,639275600000,639275699999
FUN,639275700000,639275799999
FUN,639275800000,639275899999
FUN,639278700000,639278799999
FUN,639279400000,639279499999
FUN,639369000000,639369099999
FUN,639369100000,639369199999
FUN,639771200000,639771299999
FUN,639771300000,639771399999
FUN,639771900000,639771999999
FUN,639773500000,639773599999
FUN,639776000000,639776099999
FUN,639776100000,639776199999
FUN,639776200000,639776299999
FUN,639953900000,639953999999
FUN,639954000000,639954099999
